PLZ;ORT;Kanton;Latitude;Longitude
2743;Eschert;BE;47.263485;7.40423
1007;Lausanne;VD;46.519595;6.63233
2744;Belprahon;BE;47.288594;7.404268
2747;Seehof;BE;47.301549;7.517976
2745;Grandval;BE;47.283523;7.425376
2746;Crémines;BE;47.28535726;7.451993888
2762;Roches BE;BE;47.301706;7.37378
2832;Rebeuvelier;JU;47.320793;7.417931
2830;Courrendlin;JU;47.33466568;7.374280315
2800;Delémont;JU;47.37510076;7.332924353
2802;Develier;JU;47.3647168;7.281501206
2803;Bourrignon;JU;47.392968;7.250756
2805;Soyhières;JU;47.398709;7.365186
2806;Mettembert;JU;47.396686;7.324817
2807;Pleigne;JU;47.415442;7.30973
1008;Prilly;VD;46.53889572;6.604973569
2812;Movelier;JU;47.41042;7.317292
2813;Ederswiler;JU;47.421108;7.333272
2814;Roggenburg;BL;47.428278;7.354321
2822;Courroux;JU;47.3691949;7.393027637
2823;Courcelon;JU;47.36166;7.390955
2824;Vicques;JU;47.35090887;7.427027963
2825;Courchapoix;JU;47.348062;7.451775
2826;Corban;JU;47.347203;7.472348
1009;Pully;VD;46.52153817;6.669496486
2827;Mervelier;JU;47.331277;7.55302
2828;Montsevelier;JU;47.356951;7.511823
2829;Vermes;JU;47.322108;7.476983
2842;Rossemaison;JU;47.342631;7.343595
2843;Châtillon JU;JU;47.319933;7.340727
2852;Courtételle;JU;47.33094152;7.317661918
2853;Courfaivre;JU;47.32992417;7.279748788
2854;Bassecourt;JU;47.3351347;7.240782485
2855;Glovelier;JU;47.32692941;7.18444471
2856;Boécourt;JU;47.36152824;7.222935489
1010;Lausanne;VD;46.55204314;6.652307803
2857;Montavon;JU;47.37232;7.236435
2863;Undervelier;JU;47.300865;7.222253
2864;Soulce;JU;47.297873;7.279942
2873;Saulcy;JU;47.302493;7.153539
2874;Saint-Brais;JU;47.302961;7.084949
2875;Montfaucon;JU;47.273616;7.070246
2877;Le Bémont JU;JU;47.259264;7.039008
1011;Lausanne;VD;46.525429;6.64295
2882;Saint-Ursanne;JU;47.357747;7.15331
2883;Montmelon;JU;47.358099;7.171072
2884;Montenol;JU;47.349739;7.143755
2885;Epauvillers;JU;47.337305;7.116267
2886;Epiquerez;JU;47.326102;7.068824
2887;Soubey;JU;47.306854;7.045637
2888;Seleute;JU;47.362946;7.109186
1012;Lausanne;VD;46.52631;6.65689
2889;Ocourt;JU;47.354908;7.073021
2950;Courgenay;JU;47.39294641;7.121869799
2900;Porrentruy;JU;47.42129875;7.071013933
2902;Fontenais;JU;47.38773237;7.076817649
2903;Villars-sur-Font;JU;47.385514;7.080999
2904;Bressaucourt;JU;47.383185;7.039055
2905;Courtedoux;JU;47.412724;7.036178
2906;Chevenez;JU;47.39152265;6.992897767
2907;Rocourt;JU;47.385756;6.955768
2908;Grandfontaine;JU;47.39147;6.933637
2912;Roche-d'Or;JU;47.365451;6.954115
2914;Damvant;JU;47.36807;6.897797
2915;Bure;JU;47.303675;9.457086
2916;Fahy;JU;47.417426;6.952857
1014;Lausanne Adm cant;VD;46.519588;6.63234
2922;Courchavon;JU;47.436636;7.04556
2923;Courtemaîche;JU;47.458188;7.046949
2924;Montignez;JU;47.48384;7.057063
2925;Buix;JU;47.477201;7.028201
2926;Boncourt;JU;47.48797856;7.007613253
2932;Coeuve;JU;47.453325;7.095441
2935;Beurnevésin;JU;47.489202;7.129588
1015;Lausanne;VD;46.55204314;6.652307803
2942;Alle;JU;47.42841365;7.126248602
2943;Vendlincourt;JU;47.451931;7.14873
2944;Bonfol;JU;47.47584614;7.156806057
2946;Miécourt;JU;47.431234;7.174225
2947;Charmoille;JU;47.426859;7.212295
2952;Cornol;JU;47.40475367;7.163135059
1753;Matran;FR;46.78391406;7.091004447
1754;Rosé;FR;46.781159;7.096297681
1756;Onnens FR;FR;46.773683;7.022437
1757;Noréaz;FR;46.80221222;7.03654691
1690;Villaz-Saint-Pierre;FR;46.719884;6.958966
1762;Givisiez;FR;46.81272758;7.125580288
1772;Grolley;FR;46.83472235;7.065876494
1773;Léchelles;FR;46.833119;7.023145
1774;Cousset;FR;46.818335;6.977285
1776;Montagny FR;FR;46.816224;6.97711941
1795;Courlevon;FR;46.891513;7.108923
1796;Courgevaux;FR;46.905133;7.103852
1797;Münchenwiler;BE;46.907758;7.123924
1794;Salvenach;FR;46.909391;7.151784
1793;Jeuss;FR;46.903673;7.167655
1792;Cordast;FR;46.862963;7.149826414
1791;Courtaman;FR;46.871941;7.131064
1788;Bas-Vully;FR;46.953854;7.09891
1789;Lugnorre;FR;46.95;7.069387
1782;Belfaux;FR;46.82873276;7.095040843
1783;Pensier;FR;46.859837;7.15878
1784;Courtepin;FR;46.86430927;7.126277386
1785;Cressier FR;FR;46.897081;7.13546
1786;Sugiez;FR;46.97103;7.110598424
1000;Lausanne;VD;46.55204314;6.652307803
1787;Môtier (Vully);FR;46.941564;7.049398
1800;Vevey;VD;46.46423152;6.84804687
1801;Le Mont-Pèlerin;VD;46.48211;6.83138
1808;Monts-de-Corsier;VD;46.503485;6.88124
1809;Fenil-sur-Corsier;VD;46.482776;6.864987
1802;Corseaux;VD;46.47104482;6.828272825
1803;Chardonne;VD;46.48860475;6.821603523
1804;Corsier-sur-Vevey;VD;46.49441265;6.870999591
1805;Jongny;VD;46.48761295;6.846544367
1806;Saint-Légier-La Chiésaz;VD;46.463956;6.88207623
1807;Blonay;VD;46.47786962;6.921971139
1071;Rivaz;VD;46.48432324;6.780026325
1814;La Tour-de-Peilz;VD;46.45490364;6.869351932
1815;Clarens;VD;46.440945;6.890805
1816;Chailly-Montreux;VD;46.449077;6.89164
1817;Brent;VD;46.457725;6.9011
1820;Montreux;VD;46.45179386;6.940790207
1822;Chernex;VD;46.443545;6.911375
1823;Glion;VD;46.414038;6.924678029
1824;Caux;VD;46.433459;6.932099393
1832;Villard-sur-Chamby;VD;46.44888;6.91388
1669;Sciernes-d'Albeuve;FR;46.482967;7.053598615
1658;La Tine;VD;46.4661;7.063937
1660;Les Moulins;VD;46.447343;7.137467
1659;Flendruz;VD;46.499224;7.214277
1833;Les Avants;VD;46.449441;6.95158215
1844;Villeneuve VD;VD;46.403846;6.968948
1847;Rennaz;VD;46.375443;6.916829
1845;Noville;VD;46.38302311;6.896133477
